"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
-2.12759430299361,1.14549055494123,3.60710671629354,-2.29960639781488,-2.07252495221351,2.15237906528198,-1.55525412707033,-0.372397824724496,2.55215525741468,-2.06551794636085,1.43488113912625,2.8733433204004,-2.16302013751211,-1.07783746845928,2.95097479709022,-1.54521148363561,0.635288608547423,2.69791447351929,-1.32712254863719,1.64575362006566,2.95745177723919,-2.55882330375453,-1.9082404900226,2.16891767195055,-1.74184675820134,-0.891793235391116,2.22185547393774,-2.11103435210703,1.2558678114198,3.12304685621343,-2.11463751093745,-2.41830523265891,2.71245387242259,-1.57815090684427,-0.0801913979224141,3.62510349754531,-1.70853164290035,1.54695846886823,3.96039629041007,-3.24414672197254
-1.61387128141824,1.09195146955562,3.07298481199073,-2.23984919213331,0.14715291117247,2.22581358918576,-2.50516495134402,-0.374793003759203,3.32383239834109,-0.871600215415294,1.38492679975707,3.64602565961828,-3.07276617279658,-1.08308192480809,2.32634240033661,-1.64618838644234,0.571785617520428,2.62879080811115,-1.32090798861776,1.97890552709685,3.76861594540718,-2.02682662397348,-0.759776633542372,2.09781373889696,-2.06022926954045,-0.468248250425011,2.61733154447563,-1.77703934382244,1.17349594864087,3.30665381683688,-2.11054604328894,0.629597923065697,2.00163343113345,-1.6093074333811,-0.125299355338532,2.68890986828371,-0.875558196701273,1.46032129033376,3.41634286150821,-1.81614259458463
-1.74712872016959,1.22535868420181,2.69329932444615,-2.68540244580659,-1.86918400946875,2.31664285838556,-2.15592773514139,-0.183375143368961,3.2253036266036,-2.39036841196776,1.52703852782007,3.88985877431036,-2.0507356040393,-0.935470387886589,2.43225225758052,-2.14831987557557,0.723256124133222,2.72414526283222,-1.2812333043552,1.61809774340802,3.22760677525648,-2.23185289455655,-1.92392803255354,2.21625690319886,-1.47802410546802,-0.765839375074282,2.54761522304947,-2.32067981228052,1.31978771218886,3.4871224564592,-1.76187884365243,-1.67520533548846,2.78601311235334,-1.28374284943018,0.0990639651322614,2.86521412057743,-2.05810583725495,1.60153182228119,2.82165289178257,-2.68253182984571
-2.39231397461927,1.19733949287795,3.50833740719638,-2.95432246758966,-0.0394895352195525,2.36572790271956,-1.47129243882211,-0.38602614202176,2.40260940259521,-0.987024196948367,1.51875625838983,3.20729228392671,-3.21723458237456,-1.11886630613737,3.18698985229206,-2.09514825765508,0.694470098105103,2.7608385918668,-1.33157489856676,1.63161614648873,2.934840762121,-2.25148921621031,-0.776893588607231,2.18021162261949,-2.97363340122063,-0.472119046248689,2.36775139822523,-1.36515087722636,1.33227705048333,3.26050970509077,-2.2082365561375,0.646297609407878,2.85682316793366,-1.68771320620616,-0.0857699397938064,3.57858173228738,-0.68581548216554,1.57957551978762,3.48065501922212,-3.17626997972781
-1.14313527899615,1.1042377088895,3.49126247464155,-1.93644784848281,-1.92594682685058,2.65643344337158,-3.47791349226612,-0.415746557565532,2.85472774112018,-2.10178437262076,1.42013046382193,3.61939810980981,-1.88418435522938,-1.08192939030501,2.71563678129036,-1.86240788242923,0.639576249396888,2.67549764168067,-1.33573785067109,1.99892158222649,3.34258256281298,-2.31157184911341,-2.09160066043452,2.12447734871461,-1.78423487322369,-0.948283515665586,2.64811042460796,-2.01820264557806,1.23348193754979,2.87966524229519,-2.02124943527865,-2.46827649567047,1.90755403617258,-1.62402293176742,-0.137089423643385,2.648983872658,-2.51423949858635,1.48321889953547,3.51207300098681,-2.13912405681418
-2.1359369617499,1.1698842087346,2.47548354579251,-2.62655818113474,0.0880064774860122,2.79362300404346,-1.42320062797968,-0.390099049998059,2.50072859497032,-0.625930083465803,1.45931152216592,3.54730545140374,-1.73737562108584,-1.11253893129216,2.2925016852355,-1.71751363940423,0.631562702298769,2.67926019932396,-1.3340270297939,1.77946677405205,2.28858706481025,-2.10425367910892,-0.772434500920219,2.21735035853505,-2.0751175936993,-0.438453199645505,2.54842604465125,-1.22491913658346,1.2871518815487,3.6889356725591,-2.54452228045794,0.596667735051918,2.78247218700165,-1.6807697059457,-0.12330976581675,2.41613097314878,-0.835608376042078,1.58674737590991,2.7546699865168,-2.6892776700296
-2.26218078163707,1.2160222772458,3.30317219777177,-1.1366821717031,-1.80017804985584,1.98511785797254,-3.44629634061861,-0.417062917492414,2.65844481273001,-2.18995588173225,1.48842908602794,3.54471480420785,-2.65694752016342,-1.06453494642139,3.09739923846599,-1.873482455402,0.62308008329123,2.72774715557487,-1.31477674878654,1.5892657212076,3.17782972099566,-2.48888192652111,-2.08428626892292,2.19760162988612,-1.92717616543588,-0.973891682889213,2.32830801605204,-1.65748734332821,1.3104702637168,2.97623206247205,-2.32869240347918,-1.80380127190162,3.34086078647104,-1.71017036893058,-0.156836389580129,3.35662497411437,-2.26915065902101,1.59877044210289,4.26914395886172,-1.60486859807282
-1.67375271691588,1.12262963159162,3.19685987747699,-2.69224384480286,0.0268689192529279,2.77030260913533,-1.68509390653387,-0.364632776982551,2.93895182234835,-0.71819472388329,1.42191773066732,3.58816436199539,-2.92780900176101,-1.08131859140466,2.77757455003206,-2.54262819152164,0.59819406902647,2.65592554604944,-1.32896376566151,1.75717352114811,3.35360754656147,-1.72280550937809,-0.705898216883927,2.10365177540571,-2.13775232747613,-0.397239563915014,2.6413527554291,-2.15483504385471,1.20778453940499,2.22259342678462,-0.910102606711452,0.746721503166042,1.99339858636754,-1.68360075780917,-0.0997391953318074,2.79412800722261,-0.671556635126672,1.47394934578902,3.4670208473774,-2.17504918600684
-2.01064194662123,1.24974127691366,3.13933166384383,-2.39539926852105,-1.82583009829399,2.53215171280299,-1.09618623450758,-0.25407607396186,3.10097353070812,-2.62834137823746,1.55905848142107,2.71431354986995,-1.4320032602399,-0.991522047549561,1.9915949216218,-1.25009454504095,0.806201338417354,2.71444583566976,-1.29404256447115,1.92081430489358,3.63235735363555,-2.80883508875399,-2.01076907714931,2.18439135473421,-2.26840428767293,-0.882655197799735,2.57702717077053,-1.90889700321841,1.36104908447622,2.97835221392211,-3.49249374183308,-2.47593932983373,2.35359996572271,-1.95510299894567,0.0367697506419591,2.52369069582206,-2.35447557527937,1.60284958376292,3.50949462038755,-1.68772085500984
-2.88498928710617,1.18516255007147,2.93718244005139,-2.96179108739603,0.0130354017982433,1.7302846862326,-3.3530710168886,-0.416614579568685,2.67871889622357,-0.611072842992861,1.49824721492779,3.42071221666688,-3.69894271825509,-1.10777674934968,2.89649318363914,-2.14786378808987,0.644307884766128,2.73959725051453,-1.3309203284968,1.49502710793269,3.62773572642124,-1.6994102552333,-0.712499998388931,2.19300321349936,-2.64431019474074,-0.434934590402491,2.31832534757751,-1.78321938645768,1.31673827720262,3.62142962743805,-0.719820684183169,0.516029335852739,3.06569773334891,-1.35820261506405,-0.157149120981834,3.09541524954179,-0.483104884894175,1.58183161506514,4.00505270600131,-2.06094734887561
